"","Study_ID","Chip","count","mean_slope","sd_slope","min_slope","max_slope","mean_Rsquare","sd_Rsquare","min_Rsquare","max_Rsquare"
"1","NA06997","UQVn1_20032937X379897",33,0.997627212640824,0.00219636934536026,0.993378850724048,1.00179912843916,0.989959335369259,0.000455536044982485,0.989109972956689,0.991083143465429
"2","NA06997","GSAMD-24v3-0-EA_20034606",29,0.99855841225514,0.0017783193973134,0.994792576665647,1.00337067822361,0.990104590092951,0.000514463166498542,0.989155194867988,0.991629604641044
"3","NA06997","GSAMD-24v2-0_20024620",3,1.00401118137899,0.00268268178011016,1.0012975414036,1.00666179427759,0.990193557195657,0.000150571910801758,0.990024265894547,0.990312513804358
"4","NA06997","Axiom_HGCoV2_1.r3",1,1.00000089386057,NA,1.00000089386057,1.00000089386057,0.991366668787382,NA,0.991366668787382,0.991366668787382
"5","NA06997","LowPass",1,0.993067427528002,NA,0.993067427528002,0.993067427528002,0.942851848668854,NA,0.942851848668854,0.942851848668854
"6","NA07029","GSAMD-24v3-0-EA_20034606",21,1.00267836202208,0.00133593337554473,0.999882350549168,1.00499038374054,0.996718843244151,0.000289193622218743,0.995928762285552,0.997028342336564
"7","NA07029","UQVn1_20032937X379897",20,1.00263416503161,0.00217390676417481,0.998564425517457,1.00750888560639,0.99685010731437,0.000266644947870896,0.996446833408613,0.997684917239124
"8","NA07029","GSAMD-24v2-0_20024620",3,1.01036557536178,0.000955879316935999,1.00945652056145,1.01136224646618,0.995135774494041,2.89423476112441e-05,0.995112814214601,0.995168285056041
"9","NA07029","Human610-Quadv1_B",3,0.991924191632641,0.00134045704118401,0.990377254129779,0.992743084506948,0.97598421843023,6.40594014360956e-05,0.975930809060689,0.976055242256985
"10","NA07029","Axiom_HGCoV2_1.r3",1,0.999992029203668,NA,0.999992029203668,0.999992029203668,0.998800918787422,NA,0.998800918787422,0.998800918787422
"11","NA07029","Human660W-Quad_v1_C",1,0.992568934368652,NA,0.992568934368652,0.992568934368652,0.975851842862512,NA,0.975851842862512,0.975851842862512
"12","NA10861","GSAMD-24v1-0_20011747",106,0.995787406170456,0.00157605014675531,0.991013469922788,1.00004857289721,0.992245557963329,0.000424952080734939,0.990203494129035,0.993670147801673
"13","NA10861","Human370v1_C",4,0.99257274418753,0.000283457944016125,0.992194479048947,0.992878802630381,0.989435514625803,0.000169260082664112,0.989211613230972,0.989566975692574
"14","NA10861","Human610-Quadv1_B",2,0.992398480291349,0.000274980598740842,0.992204039645284,0.992592920937413,0.989527481842555,6.25842355098882e-05,0.989483228105231,0.98957173557988
"15","NA10861","Human660W-Quad_v1_C",2,0.993067194993453,0.00190326197361566,0.991721385545535,0.994413004441371,0.989833237160814,0.000513031850623721,0.989470468860273,0.990196005461355
